97,40,1
21,56,1
6,70,39
95,62,32
65,85,48
94,83,3
90,75,3
69,65,75
25,94,1
85,27,31
22,70,1
100,86,5
72,8,33
23,80,88
49,99,2
84,77,1
58,17,15
36,86,1
95,37,26
59,64,3
61,84,90
91,34,1
60,49,2
11,4,81
88,83,3
3,58,2
21,58,41
74,77,2
4,73,41
30,64,16
79,34,1
23,78,55
84,50,1
97,49,53
40,92,3
64,56,3
29,31,89
92,93,10
12,28,35
28,91,1
23,86,92
99,16,2
50,4,18
98,22,35
20,1,3
58,95,3
78,78,78
36,87,3
72,29,1
20,53,49
25,74,3
22,46,89
38,6,1
30,18,47
74,9,15
63,50,1
8,14,2
64,65,3
38,15,10
70,32,3
55,43,1
24,43,2
94,49,1
72,81,3
17,86,2
54,45,3
62,72,76
96,34,2
42,57,18
8,5,2
80,57,1
18,95,1
13,10,1
24,59,1
42,48,24
100,23,18
56,56,66
21,21,19
49,78,27
99,61,19
57,16,2
100,100,43
85,28,79
62,25,3
2,52,96
99,99,93
96,51,3
75,36,3
79,62,48
48,30,25
67,61,1
62,30,1
13,25,22
64,96,2
60,53,1
1,32,3
71,9,23
91,66,73
15,8,1
17,69,65
91,56,3
84,94,2
42,70,2
36,49,56
30,29,1
41,86,51
33,69,3
55,22,71
34,63,2
90,94,8
1,84,2
54,7,80
41,73,13
24,5,91
6,43,93
20,90,1
39,3,92
7,54,85
18,87,3
29,2,55
3,15,9
59,59,68
43,53,95
32,53,66
65,51,97
99,69,3
82,33,84
20,86,2
4,82,60
40,40,40
81,40,62
97,3,75
61,59,3
89,76,50
64,40,5
6,42,42
5,5,5
80,36,19
83,50,50
78,68,82
61,13,1
65,39,1
35,86,2
29,26,2
3,38,1
40,87,100
16,90,2
94,43,1
44,63,40
78,54,16
78,61,23
37,25,1
15,95,35
25,8,3
64,26,95
7,34,1
82,68,3
9,28,2
91,51,40
18,63,3
4,73,2
88,81,2
24,19,2
13,40,1
51,16,2
86,36,36
62,1,1
79,78,2
84,90,2
21,55,19
95,7,16
66,33,58
79,45,2
85,23,3
10,73,1
88,66,2
70,63,2
98,73,3
49,80,91
78,57,3
33,44,1
84,65,11
80,72,69
29,51,1
26,33,69
50,53,2
41,59,58
46,85,96
85,97,1
27,16,51
15,77,1
86,12,46
40,34,1
92,92,92
52,13,1
83,98,53
41,16,3
54,78,11
47,75,1
99,23,56
45,17,72
95,33,1
13,52,4
74,92,2
62,13,34
55,74,56
84,28,76
47,92,9
3,60,3
20,25,67
20,20,20
26,74,2
45,66,3
58,85,57
23,87,84
29,14,2
57,77,1
75,55,54
62,33,33
45,25,19
72,32,1
11,50,50
90,86,15
80,62,97
55,16,1
85,85,30
80,25,47
2,29,41
91,4,54
23,94,15
69,88,8
52,96,2
67,94,1
49,27,2
63,59,1
5,13,16
68,81,1
24,77,63
68,54,1
3,4,2
84,11,1
90,62,23
11,38,38
11,38,2
53,72,1
39,84,3
71,63,79
68,90,1
88,100,12
79,75,2
83,17,26
50,24,85
25,86,88
73,73,92
21,62,50
8,65,73
55,48,74
92,73,3
82,44,48
55,91,1
74,33,1
24,2,81
76,67,1
11,66,1
25,56,56
59,15,1
42,16,2
73,78,2
74,81,13
66,31,2
39,4,2
71,11,2
60,22,2
92,89,2
75,49,64
5,35,79
48,90,89
52,64,1
37,84,6
60,28,53
88,18,2
54,52,2
79,1,1
30,21,28
93,31,2
90,77,1
36,50,38
25,42,2
73,7,1
25,89,3
58,1,60
11,86,2
10,89,20
81,54,82
2,37,66
19,70,1
39,47,1
46,11,99
15,53,70
31,94,92
31,55,54
61,93,93
85,82,13
36,28,86
29,1,68
16,20,52
71,57,80
52,99,70
52,93,2
69,20,1
89,97,3
30,33,3
84,83,1
4,82,1
18,32,1
23,58,3
97,52,96
72,26,1
99,70,89
77,88,8
78,23,1
5,5,4
3,9,45
44,57,17
72,91,2
20,64,75
48,24,24
84,20,1
87,54,3
98,5,2
68,34,3
88,88,88
14,60,1
99,15,3
57,93,43
48,87,3
84,80,71
76,94,1
64,38,90
88,47,61
85,85,89
66,64,60
11,69,78
64,34,1
26,6,19
5,89,2
12,13,94
63,98,61
16,52,1
49,100,55
83,55,3
12,55,89
23,51,1
34,4,1
29,9,1
45,9,24
86,91,40
65,62,20
46,55,1
78,49,2
93,3,3
92,98,19
2,72,1
5,35,2
16,16,16
99,75,3
17,2,2
1,1,1
10,90,14
79,79,28
20,99,88
16,76,80
19,97,51
92,2,2
87,80,68
32,85,3
